show_id,title,type,genre,primary_country,added_year,release_year,rating,duration_num,duration_type
s1,Dick Johnson Is Dead,Movie,Documentaries,United States,2021.0,2020,PG-13,90.0,min
s2,Blood & Water,TV Show,International TV Shows,South Africa,2021.0,2021,TV-MA,2.0,seasons
s2,Blood & Water,TV Show,TV Dramas,South Africa,2021.0,2021,TV-MA,2.0,seasons
s2,Blood & Water,TV Show,TV Mysteries,South Africa,2021.0,2021,TV-MA,2.0,seasons
s3,Ganglands,TV Show,Crime TV Shows,,2021.0,2021,TV-MA,1.0,seasons
s3,Ganglands,TV Show,International TV Shows,,2021.0,2021,TV-MA,1.0,seasons
s3,Ganglands,TV Show,TV Action & Adventure,,2021.0,2021,TV-MA,1.0,seasons
s4,Jailbirds New Orleans,TV Show,Docuseries,,2021.0,2021,TV-MA,1.0,seasons
s4,Jailbirds New Orleans,TV Show,Reality TV,,2021.0,2021,TV-MA,1.0,seasons
s5,Kota Factory,TV Show,International TV Shows,India,2021.0,2021,TV-MA,2.0,seasons
s5,Kota Factory,TV Show,Romantic TV Shows,India,2021.0,2021,TV-MA,2.0,seasons
s5,Kota Factory,TV Show,TV Comedies,India,2021.0,2021,TV-MA,2.0,seasons
s6,Midnight Mass,TV Show,TV Dramas,,2021.0,2021,TV-MA,1.0,seasons
s6,Midnight Mass,TV Show,TV Horror,,2021.0,2021,TV-MA,1.0,seasons
s6,Midnight Mass,TV Show,TV Mysteries,,2021.0,2021,TV-MA,1.0,seasons
s7,My Little Pony: A New Generation,Movie,Children & Family Movies,,2021.0,2021,PG,91.0,min
s8,Sankofa,Movie,Dramas,United States,2021.0,1993,TV-MA,125.0,min
s8,Sankofa,Movie,Independent Movies,United States,2021.0,1993,TV-MA,125.0,min
s8,Sankofa,Movie,International Movies,United States,2021.0,1993,TV-MA,125.0,min
s9,The Great British Baking Show,TV Show,British TV Shows,United Kingdom,2021.0,2021,TV-14,9.0,seasons
s9,The Great British Baking Show,TV Show,Reality TV,United Kingdom,2021.0,2021,TV-14,9.0,seasons
s10,The Starling,Movie,Comedies,United States,2021.0,2021,PG-13,104.0,min
s10,The Starling,Movie,Dramas,United States,2021.0,2021,PG-13,104.0,min
s11,"Vendetta: Truth, Lies and The Mafia",TV Show,Crime TV Shows,,2021.0,2021,TV-MA,1.0,seasons
s11,"Vendetta: Truth, Lies and The Mafia",TV Show,Docuseries,,2021.0,2021,TV-MA,1.0,seasons
s11,"Vendetta: Truth, Lies and The Mafia",TV Show,International TV Shows,,2021.0,2021,TV-MA,1.0,seasons
s12,Bangkok Breaking,TV Show,Crime TV Shows,,2021.0,2021,TV-MA,1.0,seasons
s12,Bangkok Breaking,TV Show,International TV Shows,,2021.0,2021,TV-MA,1.0,seasons
s12,Bangkok Breaking,TV Show,TV Action & Adventure,,2021.0,2021,TV-MA,1.0,seasons
s13,Je Suis Karl,Movie,Dramas,Germany,2021.0,2021,TV-MA,127.0,min
s13,Je Suis Karl,Movie,International Movies,Germany,2021.0,2021,TV-MA,127.0,min
s14,Confessions of an Invisible Girl,Movie,Children & Family Movies,,2021.0,2021,TV-PG,91.0,min
s14,Confessions of an Invisible Girl,Movie,Comedies,,2021.0,2021,TV-PG,91.0,min
s15,Crime Stories: India Detectives,TV Show,British TV Shows,,2021.0,2021,TV-MA,1.0,seasons
s15,Crime Stories: India Detectives,TV Show,Crime TV Shows,,2021.0,2021,TV-MA,1.0,seasons
s15,Crime Stories: India Detectives,TV Show,Docuseries,,2021.0,2021,TV-MA,1.0,seasons
